navigation;modèle-imprimante;;imprimante;;Label;;;;ref-constructeur;prix;capacité;ID_printer;ID_product
Toshiba;Toshiba  E-Studio;;E-Studio 2555 C SE;;ORIGINAL Toshiba 6AJ00000114 / T-FC 50 EK - Toner noir;;;;T-FC 50 EK;null;6AJ00000114;14969;5704
Xerox;Xerox  WC;;WC 6515 NS;;COMPATIBLE Xerox 106R03480 - Toner noir;;;;106 R 03480;null;5500;17144;5869
OKI;OKI  Microline;;Microline 280 DC;;COMPATIBLE OKI 09002303 - Ruban nylon noir;;;;9002303;null;Non;7427;4792
Adler-Royal;Adler-Royal  DM;;DM 324;;null;;;;null;null;null;71;#N/A
Rex Rotary;Rex Rotary  DSC;;DSC 426;;ORIGINAL Ricoh 888483 / TYPE T 2 - Toner noir;;;;TYPE T 2;null;888483;10091;5301
Xerox;Xerox  WorkCentre;;WorkCentre 5222 Kutl;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;17145;5841
OKI;OKI  MB;;MB 770 plus;;ORIGINAL OKI 45439002 - Toner noir;;;;45439002;null;36000;7428;5095
Canon;Canon  imageCLASS C;;imageCLASS C 2100 S;;ORIGINAL Canon 1515A003 / EP-82 BK - Toner noir;;;;EP-82 BK;null;1515 A 003;5004;4861
Canon;Canon  IR-C;;IR-C 1225;;ORIGINAL Canon 9458B001 / 034 - Kit tambour;;;;34;null;9458 B 001;5005;4844
Canon;Canon  NP;;NP 6260;;null;;;;null;null;null;5006;#N/A
Samsung;Samsung  Xpress;;Xpress C 480 FW;;PROMO Pack de 4 toners GENERIQUES Samsung CLTP404CELS / P404C - Toner MultiPack;;;;P404C;null;CLT-P 404 C/ELS;12521;5493
Triumph-Adler;Triumph-Adler  LP;;LP 4135;;ORIGINAL Utax 4413510010 - Toner noir;;;;4 413 510 010;null;7200;15254;5770
Xerox;Xerox  DC;;DC 250 Series;;ORIGINAL Xerox 013R00603 - Kit tambour;;;;013 R 00603;null;200000;17146;5849
OKI;OKI  C;;C 3300;;COMPATIBLE OKI 43459332 - Toner noir;;;;43459332;null;2500;7429;5098
Canon;Canon  PC;;PC 310;;COMPATIBLE Canon 1491A003 / E30 - Toner noir;;;;E30;null;1491 A 003;5007;4829
Canon;Canon  Pixma;;Pixma MP 460;;COMPATIBLE Canon 0615B001 / PG-40 / PG-50 - Tête d'impression noire;;;;PG-40;null;0615 B 001;5008;4949
Olivetti;Olivetti  OFX;;OFX 500 L;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;8229;4691
Xerox;Xerox  WC;;WC 5875;;ORIGINAL Xerox 006R01552 - Toner noir;;;;006 R 01552;null;110000;17147;5912
Canon;Canon  IR;;IR 210 e;;ORIGINAL Canon 1388A002 - Toner noir;;;;1388 A 002;null;9600;5009;4807
Brother;Brother  HL;;HL-2032 DN;;COMPATIBLE Brother DR2000 - Kit tambour;;;;DR-2000;null;12000;1383;4752
Canon;Canon  Fax L;;Fax L 100;;COMPATIBLE Canon 0263B002 / FX-10 - Toner noir;;;;FX-10;null;0263 B 002;5010;4819
Ricoh;Ricoh  SS;;SS 930 Series;;ORIGINAL Ricoh 893171 / VT-600 - Encre Divers;;;;VT-600;null;893171;11167;5308
Unisys;Unisys  UDS;;UDS 9724;;ORIGINAL Lexmark 1382925 - Toner noir;;;;1382925;null;17600;15383;5643
Sharp;Sharp  MX;;MX-M 3050;;ORIGINAL Sharp MX560GT - Toner noir;;;;MX-560 GT;null;40000;13920;5570
Xerox;Xerox  Phaser;;Phaser 5500 Series;;ORIGINAL Xerox 113R00668 - Toner noir;;;;113 R 00668;null;30000;17148;5918
Olympia;Olympia  Standard;;Standard 210 Series;;ORIGINAL Olympia 9775 - Ruban carbone;;;;9775;null;Oui;8745;5206
OKI;OKI  ML;;ML 380;;COMPATIBLE OKI 09002309 - Ruban nylon noir;;;;9002309;null;Non;7430;4794
Xerox;Xerox  Phaser;;Phaser 3115;;ORIGINAL Xerox 109R00639 - Toner noir;;;;109 R 00639;null;3000;17149;5868
Brother;Brother  P-Touch;;P-Touch QL 550;;COMPATIBLE Brother DK22205 - P-Touch Étiquettes;;;;DK-22205;null;Non;1384;4735
Xerox;Xerox  WorkCentre;;WorkCentre 7235 FX;;ORIGINAL Xerox 006R01175 - Toner noir;;;;006 R 01175;null;26000;17150;5839
Samsung;Samsung  ML;;ML-2850 D;;COMPATIBLE Samsung MLD2850BELS - Toner noir;;;;MLD-2850 B/ELS;null;5000;12522;5470
Samsung;Samsung  SL;;SL-M 2870 FD;;COMPATIBLE Samsung MLTR116SEE / R116 - Kit tambour;;;;R116;null;MLT-R 116/SEE;12523;5490
Panasonic;Panasonic  KX-FM;;KX-FM 330;;Pack de 2 COMPATIBLES Panasonic KXFA136X - Rouleau transfert thermique;;;;KX-FA 136 X;null;336;9321;5230
Sharp;Sharp  MX;;MX-M 280 Series;;ORIGINAL Sharp MX500NT - Toner noir;;;;MX-500 NT;null;40000;13921;5575
Canon;Canon  imageRUNNER;;imageRUNNER 210 e;;ORIGINAL Canon 1388A002 - Toner noir;;;;1388 A 002;null;9600;5011;4807
Brother;Brother  DCP;;DCP-8110 DN;;COMPATIBLE Brother DR3300 - Kit tambour;;;;DR-3300;null;30000;1385;4723
Xerox;Xerox  Docuprint;;Docuprint 90;;null;;;;null;null;null;17151;#N/A
Sanyo;Sanyo  ECR;;ECR 08 LBN;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;12924;4684
Canon;Canon  Laserbase;;Laserbase MF 6500 Series;;COMPATIBLE Canon 0264B002 / 706 - Toner noir;;;;706;null;0264 B 002;5012;4869
OKI;OKI  C;;C 331 DN;;COMPATIBLE OKI 44469803 - Toner noir;;;;44469803;null;3500;7431;5115
Ricoh;Ricoh  Aficio CL;;Aficio CL 3100 Series;;ORIGINAL Ricoh 400838 / TYPE 125 - Toner noir;;;;TYPE 125;null;400838;11168;5374
Brother;Brother  Compactronic;;Compactronic 300 M;;ORIGINAL Brother 1032 - Ruban nylon noir;;;;1032;7,70 €;Oui;1386;4733
Xerox;Xerox  AltaLink;;AltaLink B 8090 VF;;ORIGINAL Xerox 006R01605 - Toner noir;;;;006 R 01605;null;50000;17152;5840
Unisys;Unisys  UMS;;UMS 6000 Series;;ORIGINAL IBM 1040998 - Ruban nylon noir;;;;1040998;null;Oui;15384;4682
Canon;Canon  imageCLASS;;ImageClass LBP-6300 dn;;COMPATIBLE Canon 3479B002 / 719 - Toner noir;;;;719;null;3479 B 002;5013;4810
Xerox;Xerox  WC;;WC 6515 DNS;;COMPATIBLE Xerox 106R03480 - Toner noir;;;;106 R 03480;null;5500;17153;5869
Samsung;Samsung  SCX;;SCX-6120;;COMPATIBLE Samsung SCX6320D8ELS - Toner noir;;;;SCX-6320 D8/ELS;null;8000;12524;5487
Canon;Canon  Pixus;;Pixus 6100 I;;COMPATIBLE Canon 4479A002 / BCI-3 EBK - Cartouche d'encre noire;;;;BCI-3 EBK;null;4479 A 002;5014;4821
Sharp;Sharp  Compet;;Compet 1154;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13922;4684
Casio;Casio  CE;;CE 4415;;ORIGINAL Epson C43S015356 / ERC-18-B - Ruban nylon noir;;;;ERC-18-B;null;C 43 S0 15356;6355;5012
Sagem;Sagem  MF-Fax;;MF-Fax 3600 Series;;ORIGINAL Sagem TNR736 / 251222454 - Toner noir;;;;251222454;null;TN-R 736;11772;5464
Canon;Canon  Pixma;;Pixma MG 3170;;COMPATIBLE Canon 5226B005 / CL-541 XL - Tête d'impression couleur;;;;CL-541 XL;null;5226 B 005;5015;4848
Brother;Brother  DCP;;DCP-330 C;;PACK de 5 COMPATIBLES Brother LC1000;;;;LC-1000 VAL BP;null;Non;1387;4721
Panasonic;Panasonic  KX-FC;;KX-FC 260 Series;;ORIGINAL Panasonic KXFA52X - Rouleau transfert thermique;;;;KX-FA 52 X;null;90;9322;5231
Canon;Canon  Pixma;;Pixma MP 800;;COMPATIBLE Canon 0628B001 / PGI-5 BK - Cartouche d'encre noire;;;;PGI-5 BK;null;0628 B 001;5016;4898
OKI;OKI  ML;;ML 184 Turbo;;COMPATIBLE OKI 09002303 - Ruban nylon noir;;;;9002303;null;Non;7432;4792
Sharp;Sharp  AR-M;;AR-M 351 N;;ORIGINAL Sharp AR455LT - Toner noir;;;;AR-455 LT;null;35000;13923;5165
Neopost;Neopost  IJ;;IJ 85;;null;;;;null;null;null;6696;#N/A
Olivetti;Olivetti  D-Color;;D-Color MF 3800;;ORIGINAL Olivetti B1105 - Kit tambour;;;;B1105;null;60000;8230;5198
Olympia;Olympia  Competence;;Competence WP;;ORIGINAL Olympia 9775 - Ruban carbone;;;;9775;null;Oui;8746;5206
Olivetti;Olivetti  M;;M 30;;null;;;;null;null;null;8231;#N/A
Samsung;Samsung  SCX;;SCX-6555 N;;ORIGINAL HP SV208A / SCX-D6555A - Toner noir;;;;SCX-D6555A;null;SV 208 A;12525;5519
OKI;OKI  C;;C 3600 Series;;COMPATIBLE OKI 43459332 - Toner noir;;;;43459332;null;2500;7433;5098
Xerox;Xerox  WC;;WC Pro 40;;ORIGINAL Xerox 006R01122 - Toner noir;;;;006 R 01122;null;26000;17154;5831
Canon;Canon  Pixma;;Pixma MG 7500 Series;;Pack de 5 COMPATIBLES Canon PGI550XL/ CLI551XL - AVEC PUCE;;;;PGI-550/ CLI-551;null;6509 B 008;5017;4899
Panasonic;Panasonic  KX-FP;;KX-FP 241;;ORIGINAL Panasonic KXFA54X - Rouleau transfert thermique;;;;KX-FA 54 X;null;105;9323;5232
Xerox;Xerox  Phaser;;Phaser 3122;;COMPATIBLE Xerox 106R01159 - Toner noir;;;;106 R 01159;null;3000;17155;5875
Canon;Canon  IR;;IR 330 Series;;ORIGINAL Canon 1389A003 - Toner noir;;;;1389 A 003;null;21200;5018;4841
Wincor-Nixdorf;Wincor-Nixdorf  Fax;;Fax 950;;COMPATIBLE Canon 0896A002 / BX-20 - Tête d'impression noire;;;;BX-20;null;0896 A 002;15783;4697
Unisys;Unisys  UDS;;UDS 9606;;ORIGINAL Konica Minolta 4171306 / 171-0436-001 - Kit tambour;;;;171-0436-001;null;4171-306;15385;5351
Unisys;Unisys  UDS;;UDS 132 N;;COMPATIBLE Lexmark 12A6835 - Toner noir;;;;12A6835;null;20000;15386;5453
Ricoh;Ricoh  Aficio CL;;Aficio CL 3000;;ORIGINAL Ricoh 400838 / TYPE 125 - Toner noir;;;;TYPE 125;null;400838;11169;5374
Ricoh;Ricoh  SP C;;SP C 250 SFw;;COMPATIBLE Ricoh 407543 - Toner noir;;;;407543;null;2000;11170;5355
Samsung;Samsung  Xpress;;Xpress M 2825 Series;;COMPATIBLE Samsung MLTR116SEE / R116 - Kit tambour;;;;R116;null;MLT-R 116/SEE;12526;5490
Samsung;Samsung  ML;;ML-2451 Series;;COMPATIBLE Samsung MLD2850BELS - Toner noir;;;;MLD-2850 B/ELS;null;5000;12527;5470
Ricoh;Ricoh  SP C;;SP C 360 dn;;ORIGINAL Ricoh 407405 - Photoconducteur;;;;407405;null;12000;11171;5380
Canon;Canon  Pixma;;Pixma MX 347;;COMPATIBLE Canon 2969B001 / PG-512 - Tête d'impression noire;;;;PG-512;null;2969 B 001;5019;4862
Xerox;Xerox  WorkCentre;;WorkCentre 4260 XF;;ORIGINAL Xerox 106R01409 - Toner noir;;;;106 R 01409;null;25000;17156;5830
Canon;Canon  F;;F 109;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;5020;4684
Ricoh;Ricoh  Sp;;SP 330 DN;;ORIGINAL Ricoh 408281 / TYPE SP 330 H - Toner noir;;;;TYPE SP 330 H;null;408281;11172;5338
Pitney Bowes;Pitney Bowes  DM;;DM 175 i;;COMPATIBLE Pitney Bowes 7935SB - Tête d'impression bleue;;;;793-5SB;null;Non;9814;5270
Panasonic;Panasonic  KX-R;;KX-R 21;;ORIGINAL Brother 1032 - Ruban nylon noir;;;;1032;7,70 €;Oui;9324;4733
Canon;Canon  imageRUNNER;;imageRUNNER Advance C 2020 L;;COMPATIBLE Canon 3783B002 / C-EXV 34 - Toner cyan;;;;C-EXV 34;null;3783 B 002;5021;4905
Canon;Canon  I;;I 450 Series;;COMPATIBLE Canon 6882A002 / BCI-24 C - Cartouche d'encre couleur;;;;BCI-24 C;null;6882 A 002;5022;4889
Casio;Casio  PCR;;PCR 408;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;6356;4684
Samsung;Samsung  ProXpress;;ProXpress M 3825 Series;;Remanufacturé Samsung MLTD204LELS / 204 XL - Toner noir;;;;204L;null;MLT-D 204L/ELS;12528;5495
Sagem;Sagem  Quadrige;;Quadrige Q 5200 NS;;ORIGINAL Sagem TNR736 / 251222454 - Toner noir;;;;251222454;null;TN-R 736;11773;5464
Sharp;Sharp  FO;;FO-1500;;ORIGINAL Sharp UX15CR - Film transfert thermique;;;;UX-15 CR;null;500;13924;5579
Panasonic;Panasonic  FP;;FP 7115 S;;null;;;;null;null;null;9325;#N/A
Sharp;Sharp  MX;;MX-3060 V;;ORIGINAL Sharp MX60GVSA - Développeur;;;;MX-60 GVSA;null;Oui;13925;5561
Panasonic;Panasonic  Workio DP-C;;Workio DP-C 354;;ORIGINAL Panasonic DQUHS30 - Kit tambour;;;;DQ-UHS 30;null;36000;9326;5242
Ricoh;Ricoh  Sp;;SP 213 w;;COMPATIBLE Ricoh 407254 / TYPE SP 201 HE - Toner noir;;;;TYPE SP 201 HE;null;407254;11173;5331
Ricoh;Ricoh  Aficio MP;;Aficio MP 5000 Series;;null;;;;null;null;null;10644;#N/A
Toshiba;Toshiba  E-Studio;;E-Studio 385 S;;ORIGINAL Toshiba 6B000000745 / T-3850P-R - Toner noir;;;;T-3850P-R;null;6B000000745;14970;5690
Ricoh;Ricoh  Fax;;Fax 6100 L;;null;;;;null;null;null;11174;#N/A
Texas Instruments;Texas Instruments  TI;;TI 5217;;ORIGINAL Epson C43S015425 / ERC-02-II-BR - Ruban nylon noir-rouge;;;;ERC-02-II-BR;null;C 43 S0 15425;14653;4788
Xerox;Xerox  Docuprint N;;Docuprint N 4025 CN;;ORIGINAL Xerox 113R00184 - Toner noir;;;;113 R 00184;null;23000;17157;5192
Canon;Canon  Pixma;;Pixma MP 600 R;;COMPATIBLE Canon 0628B001 / PGI-5 BK - Cartouche d'encre noire;;;;PGI-5 BK;null;0628 B 001;5023;4898
Ricoh;Ricoh  Aficio SP;;Aficio SP 4100 n;;null;;;;null;null;null;11175;#N/A
Panasonic;Panasonic  Panafax;;Panafax UF-310;;null;;;;null;null;null;9327;#N/A
OKI;OKI  C;;C 8800 N;;COMPATIBLE OKI 43487712 - Toner noir;;;;43487712;null;6000;7434;5113
Xerox;Xerox  WorkCentre;;WorkCentre 5230 V TNL;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;17158;5841
Canon;Canon  IR;;IR 1025 iF;;COMPATIBLE Canon 0386B002 / C-EXV 18 - Toner noir;;;;C-EXV 18;null;0386 B 002;5024;4902
Panasonic;Panasonic  KX-FC;;KX-FC 220 Series;;ORIGINAL Panasonic KXFA52X - Rouleau transfert thermique;;;;KX-FA 52 X;null;90;9328;5231
Ricoh;Ricoh  MP C;;MP C 6004 SP;;Ricoh Tambour Unit Noir (D2392242) (Alt: D2392241, D2392240);;;;D2392242;null;400000;11176;5354
Canon;Canon  Lasershot;;Lasershot LBP-7750 cdn;;COMPATIBLE Canon 2645B002 / 723H - Toner noir;;;;723H;null;2645 B 002;5025;4986
Olivetti;Olivetti  Copia;;Copia 7050;;ORIGINAL Konica Minolta 001A / 30168 - Toner noir;;;;30168;null;001A;8232;5189
Ricoh;Ricoh  Fax;;Fax 3000 Series;;null;;;;null;null;null;11177;#N/A
Savin;Savin  SLP;;SLP 38 C;;ORIGINAL Ricoh 400569 / TYPE C - Unité de fusión;;;;TYPE C;null;400569;13037;5138
Ricoh;Ricoh  Aficio SP;;Aficio SP 150 w;;COMPATIBLE Ricoh 408010 / TYPE 150 HC - Toner noir;;;;TYPE 150 HC;null;408010;11178;5334
Ricoh;Ricoh  Pro;;Pro C 751;;null;;;;null;null;null;11179;#N/A
Brother;Brother  P-Touch;;P-Touch PT-P 900 NW;;COMPATIBLE Brother TZE243 - P-Touch Ruban;;;;TZE-243;null;Non;1388;4720
Pitney Bowes;Pitney Bowes  Fax;;Fax 9910;;COMPATIBLE Panasonic UG3313 - Toner noir;;;;UG-3313;null;10000;9815;4699
Canon;Canon  LBP;;LBP-3000;;COMPATIBLE HP Q2612A / 12A - Toner noir;;;;12A;null;Q 2612 A;5026;4912
Brother;Brother  DCP;;DCP-525 CJ;;PACK de 5 COMPATIBLES Brother LC1000;;;;LC-1000 VAL BP;null;Non;1389;4721
Triumph-Adler;Triumph-Adler  NP;;NP 80-24 II;;null;;;;null;null;null;15255;#N/A
Brother;Brother  P-Touch;;P-Touch 500 II;;ORIGINAL Brother TC101 - P-Touch Ruban;;;;TC-101;null;Oui;1390;4749
Panasonic;Panasonic  JE;;JE 661 P;;ORIGINAL Olivetti 81129 - Rouleau couleur;;;;81129;null;Oui;9329;4873
Triumph-Adler;Triumph-Adler  FX;;FX 620 TI;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;88;4691
OKI;OKI  C;;C 5250;;COMPATIBLE OKI 42127457 - Toner noir;;;;42127457;null;5000;7435;5105
Star Micronics;Star Micronics  SP;;SP 2520;;ORIGINAL Star Micronics 30980113 / RC-200B - Ruban nylon noir;;;;RC-200B;null;30980113;14343;5015
Sagem;Sagem  Fax Internet;;Fax Internet 925 V;;null;;;;null;null;null;11774;#N/A
Canon;Canon  imageRUNNER C;;imageRUNNER C 2380 i;;COMPATIBLE Canon 0452B002 / C-EXV 21 - Toner noir;;;;C-EXV 21;null;0452 B 002;5027;4906
Citizen;Citizen  CBM;;CBM 510;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;6561;4684
Samsung;Samsung  CLX;;CLX-4100 Series;;COMPATIBLE Samsung CLTK504SELS / K504 - Toner noir;;;;K504;null;CLT-K 504 S/ELS;12529;5506
Canon;Canon  IR;;IR 2016 i;;COMPATIBLE Canon 0384B002 / C-EXV 14 - Toner noir;;;;C-EXV 14;null;0384 B 002;5028;4835
Canon;Canon  I;;I 990;;COMPATIBLE Canon 4705A002 / BCI-6 BK - Cartouche d'encre noire;;;;BCI-6 BK;null;4705 A 002;5029;4813
Canon;Canon  LBP;;LBP-VX;;COMPATIBLE HP C3903A / 03A - Toner noir;;;;03A;null;C 3903 A;5030;5007
Pitney Bowes;Pitney Bowes  DM;;DM 50;;COMPATIBLE Pitney Bowes 7970SB / K700 - Cartouche d'encre bleue;;;;K700;null;797-0SB;9816;5272
Brother;Brother  P-Touch;;P-Touch H 101 LB;;COMPATIBLE Brother TZE231 - P-Touch Ruban;;;;TZE-231;null;Non;1391;4719
Utax;Utax  P;;P-C 2660 i MFP;;null;;;;null;null;null;15603;#N/A
Sharp;Sharp  UX;;UX 300;;ORIGINAL Sharp UX3CR - Film transfert thermique;;;;UX-3 CR;null;190;13926;5565
Tally Genicom;Tally Genicom  T;;T 6100 N;;ORIGINAL Tally Genicom 080296 - Ruban nylon noir;;;;80296;null;Oui;14507;5633
Alps;Alps  P;;P 2100;;ORIGINAL Epson C13S015022 / 7754 - Ruban nylon noir;;;;7754;null;C 13 S0 15022;117;4703
Xerox;Xerox  WorkCentre;;WorkCentre 7120;;ORIGINAL Xerox 006R01457 - Toner noir;;;;006 R 01457;null;22000;17159;5897
Triumph-Adler;Triumph-Adler  FX;;FX 621 I PC;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;15256;4691
Olivetti;Olivetti  D-Color;;D-Color MF 452 Plus;;ORIGINAL Olivetti B1045 - Kit tambour;;;;B1045;null;75000;8233;5166
Toshiba;Toshiba  E-Studio;;E-Studio 650;;ORIGINAL Toshiba 6LA23011000 / D-6510 E - Développeur;;;;D-6510 E;null;6LA23011000;14971;5604
Canon;Canon  IR;;IR Advance 4035;;ORIGINAL Canon 4792B002 / C-EXV 39 - Toner noir;;;;C-EXV 39;null;4792 B 002;5031;4883
Triumph-Adler;Triumph-Adler  JPR;;JPR 7830;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;15257;4691
Canon;Canon  Multipass;;Multipass C 5000;;COMPATIBLE Canon 0955A002 / BCI-21 C - Cartouche d'encre couleur;;;;BCI-21 C;null;0955 A 002;5032;4708
Ricoh;Ricoh  Aficio;;Aficio 2105;;Ricoh Toner Type 8205D (828294) (Alt: 885344, 888157);;;;TYPE 8205 D;null;885344;11180;5287
Sharp;Sharp  MX;;MX-B 381;;ORIGINAL Sharp MXC38GRB - Kit tambour;;;;MXC-38 GRB;null;60000;13927;5621
Olivetti;Olivetti  D-Color;;D-Color MF 552 Plus;;ORIGINAL Olivetti B1045 - Kit tambour;;;;B1045;null;75000;8234;5166
Ricoh;Ricoh  MP;;MP 5055 Series;;Ricoh Toner Laser MP 6054 Noir (842127) (842000) 37k;;;;842000;null;48000;11181;5344
Olivetti;Olivetti  PR;;Praxis 200;;null;;;;null;null;null;8235;#N/A
Olivetti;Olivetti  DP N;;DP N 32;;ORIGINAL Xerox 113R00184 - Toner noir;;;;113 R 00184;null;23000;8236;5192
Olivetti;Olivetti  Lettera;;Lettera E 500 Series;;null;;;;null;null;null;8237;#N/A
OKI;OKI  Microline;;Microline 520 n;;ORIGINAL OKI 09002315 - Ruban nylon noir;;;;9002315;null;Oui;7436;5060
Xerox;Xerox  WorkCentre;;WorkCentre 7845 i;;ORIGINAL Xerox 006R01513 - Toner noir;;;;006 R 01513;null;26000;17160;5826
Sharp;Sharp  MX;;MX-M 3550;;ORIGINAL Sharp MX560GT - Toner noir;;;;MX-560 GT;null;40000;13928;5570
OKI;OKI  Microline;;Microline 6300 Series;;ORIGINAL OKI 43503601 - Ruban nylon noir;;;;43503601;null;Oui;7437;5072
Ricoh;Ricoh  Sp;;SP 325 Series;;COMPATIBLE Ricoh 407246 / TYPE SP 311 HE - Toner noir;;;;TYPE SP 311 HE;null;407246;11182;5315
Triumph-Adler;Triumph-Adler  DC;;DC 2250;;ORIGINAL Utax 613010010 - Toner noir;;;;613 010 010;null;34000;15258;5760
Canon;Canon  Pixma;;Pixma Pro 9500 Mark II;;COMPATIBLE Canon 1034B001 / PGI-9 PBK - Cartouche d'encre gris;;;;PGI-9 PBK;null;1034 B 001;5033;4940
Unisys;Unisys  UDS;;UDS 178 N;;ORIGINAL Lexmark 10B041K - Toner noir;;;;10B041K;null;6000;15387;5462
Brother;Brother  AX;;AX-22;;ORIGINAL Brother 1032 - Ruban nylon noir;;;;1032;7,70 €;Oui;1392;4733
Xerox;Xerox  WorkCentre;;WorkCentre 5020 V DN;;ORIGINAL Xerox 106R01277 - Toner noir;;;;106 R 01277;null;6300;17161;5858
Savin;Savin  Savinfax;;Savinfax 3695;;ORIGINAL Ricoh 894716 / TYPE 150 - Kit tambour;;;;TYPE 150;null;894716;13038;5220
Canon;Canon  Color imageCLASS;;Color ImageClass MF 9100 Series;;COMPATIBLE Canon 1660B002 / 711BK - Toner noir;;;;711BK;null;1660 B 002;5034;4855
Riso;Riso  RP;;RP 210 L;;ORIGINAL Riso S3919E - Encre Divers;;;;S-3919E;null;Oui;11638;5452
Brother;Brother  MFC;;MFC-8440 D;;COMPATIBLE Brother TN3060 - Toner noir;;;;TN-3060;null;6700;1393;4718
Panasonic;Panasonic  Workio DP;;Workio DP 8032;;ORIGINAL Panasonic DQZ120E - Développeur;;;;DQ-Z 120 E;null;120000;9330;5254
Olivetti;Olivetti  PR;;PR 1450;;null;;;;null;null;null;8238;#N/A
Olympia;Olympia  Olyfax;;Olyfax 820;;COMPATIBLE OKI 09002395 - Toner noir;;;;9002395;null;2500;8747;4713
Ricoh;Ricoh  SS;;SS 830;;ORIGINAL Ricoh 893171 / VT-600 - Encre Divers;;;;VT-600;null;893171;11183;5308
Sharp;Sharp  FO-DC;;FO-DC 525;;ORIGINAL Sharp FO59DC - Toner noir;;;;FO-59 DC;null;6000;13929;5601
Brother;Brother  Fax;;Fax 1920 C;;ORIGINAL Brother LC800C - Cartouche d'encre cyan;;;;LC-800 C;null;400;1394;4747
Samsung;Samsung  SF;;SF-650;;COMPATIBLE Samsung MLTD1052LELS / 1052L - Toner noir;;;;1052L;null;MLT-D 1052 L/ELS;12530;5485
Samsung;Samsung  ML;;ML-2955 FW;;COMPATIBLE Samsung MLTD103LELS / 103L - Toner noir;;;;103L;null;MLT-D 103 L/ELS;12531;5475
Canon;Canon  Pixma;;Pixma MG 7150;;Pack de 5 COMPATIBLES Canon PGI550XL/ CLI551XL - AVEC PUCE;;;;PGI-550/ CLI-551;null;6509 B 008;5035;4899
Sharp;Sharp  MX;;MX-2600 N;;COMPATIBLE Sharp MX31GTBA - Toner noir;;;;MX-31 GTBA;null;18000;13930;5580
Canon;Canon  FC;;FC 310;;COMPATIBLE Canon 1491A003 / E30 - Toner noir;;;;E30;null;1491 A 003;5036;4829
Canon;Canon  i-SENSYS;;i-SENSYS MF 424 dwth;;COMPATIBLE Canon 2200C002 / 052H - Toner noir;;;;052H;null;2200 C 002;5037;4892
Olivetti;Olivetti  Fax-LAB;;Fax-LAB 210 P;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;8239;4691
Canon;Canon  Pixma;;Pixma MX 420 Series;;COMPATIBLE Canon 2969B001 / PG-512 - Tête d'impression noire;;;;PG-512;null;2969 B 001;5038;4862
Canon;Canon  i-SENSYS;;i-SENSYS Fax L 390;;COMPATIBLE Canon 7833A002 / CARTRIDGE T - Toner noir;;;;CARTRIDGE T;null;7833 A 002;5039;4936
Samsung;Samsung  ML;;ML-2160;;COMPATIBLE Samsung MLTD101SELS / 101 - Toner noir;;;;101;null;MLT-D 101 S/ELS;12532;5479
Olympia;Olympia  NP;;NP 136 S;;ORIGINAL Epson C13S015022 / 7754 - Ruban nylon noir;;;;7754;null;C 13 S0 15022;8748;4703
Sharp;Sharp  Compet;;Compet 643 A;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13931;4684
Ricoh;Ricoh  Aficio MP;;Aficio MP 3300 Series;;Ricoh Toner Type MP3353 (842042) (Alt: TYP2220D, 885266, DT43);;;;TYPE 2220 D;null;842042;11184;5288
Adler-Royal;Adler-Royal  TRD;;TRD 5045;;null;;;;null;null;null;72;#N/A
Sharp;Sharp  FO;;FO-2550;;COMPATIBLE Lexmark 13400HCE - Tête d'impression noire;;;;13400HCE;null;Non;13932;4696
Ricoh;Ricoh  MP C;;MP C 2504 SP;;ORIGINAL Ricoh D2442209 - Photoconducteur;;;;D2442209;null;60000;11185;5373
Ricoh;Ricoh  Aficio G;;Aficio G 700;;null;;;;null;null;null;11186;#N/A
Canon;Canon  PC;;PC 850;;COMPATIBLE Canon 1491A003 / E30 - Toner noir;;;;E30;null;1491 A 003;5040;4829
Toshiba;Toshiba  TF;;TF 531;;null;;;;null;null;null;14564;#N/A
Xerox;Xerox  Phaser;;Phaser 6250 V MDP;;COMPATIBLE Xerox 106R00675 - Toner noir;;;;106 R 00675;null;8000;17162;5848
